role,class,name,username,password,linked_parent,admission
teacher,,Ali Hassan,mr_ali_s1,teacher1234,,
teacher,,Mohammed Hussain,mr_mohammed,teacher1234,,
teacher,,Yusuf Khan,mr_yusuf_s1,teacher1234,,
teacher,,Fatima Ahmed,ms_fatima_s1,teacher1234,,
teacher,,Mohammed Hussain,msadekhussain2001@gmail.com,Teacher2026!,,
teacher,,teacher_demo,teacher_demo,teacher1234,,
student,10A,Amina Hassan,student_10a_01,student1234,parent_10a_01,10A-001
parent,10A,Amina Hassan,parent_10a_01,parent1234,,10A-001
student,10A,Fatima Ali,student_10a_02,student1234,parent_10a_02,10A-002
parent,10A,Fatima Ali,parent_10a_02,parent1234,,10A-002
student,10A,Maryam Hussain,student_10a_03,student1234,parent_10a_03,10A-003
parent,10A,Maryam Hussain,parent_10a_03,parent1234,,10A-003
student,10A,Sara Begum,student_10a_04,student1234,parent_10a_04,10A-004
parent,10A,Sara Begum,parent_10a_04,parent1234,,10A-004
student,10A,Hafsa Qureshi,student_10a_05,student1234,parent_10a_05,10A-005
parent,10A,Hafsa Qureshi,parent_10a_05,parent1234,,10A-005
student,10A,Zainab Hassan,student_10a_06,student1234,parent_10a_06,10A-006
parent,10A,Zainab Hassan,parent_10a_06,parent1234,,10A-006
student,10A,Aisha Ali,student_10a_07,student1234,parent_10a_07,10A-007
parent,10A,Aisha Ali,parent_10a_07,parent1234,,10A-007
student,10A,Khadija Hussain,student_10a_08,student1234,parent_10a_08,10A-008
parent,10A,Khadija Hussain,parent_10a_08,parent1234,,10A-008
student,10A,Ahmed Begum,student_10a_09,student1234,parent_10a_09,10A-009
parent,10A,Ahmed Begum,parent_10a_09,parent1234,,10A-009
student,10A,Omar Qureshi,student_10a_10,student1234,parent_10a_10,10A-010
parent,10A,Omar Qureshi,parent_10a_10,parent1234,,10A-010
student,10A,Yusuf Hassan,student_10a_11,student1234,parent_10a_11,10A-011
parent,10A,Yusuf Hassan,parent_10a_11,parent1234,,10A-011
student,10A,Ibrahim Ali,student_10a_12,student1234,parent_10a_12,10A-012
parent,10A,Ibrahim Ali,parent_10a_12,parent1234,,10A-012
student,10A,Hamza Hussain,student_10a_13,student1234,parent_10a_13,10A-013
parent,10A,Hamza Hussain,parent_10a_13,parent1234,,10A-013
student,10A,Zaid Begum,student_10a_14,student1234,parent_10a_14,10A-014
parent,10A,Zaid Begum,parent_10a_14,parent1234,,10A-014
student,10A,Khalid Qureshi,student_10a_15,student1234,parent_10a_15,10A-015
parent,10A,Khalid Qureshi,parent_10a_15,parent1234,,10A-015
student,10A,Hassan Hassan,student_10a_16,student1234,parent_10a_16,10A-016
parent,10A,Hassan Hassan,parent_10a_16,parent1234,,10A-016
student,10A,Ali Ali,student_10a_17,student1234,parent_10a_17,10A-017
parent,10A,Ali Ali,parent_10a_17,parent1234,,10A-017
student,10A,Adam Hussain,student_10a_18,student1234,parent_10a_18,10A-018
parent,10A,Adam Hussain,parent_10a_18,parent1234,,10A-018
student,10A,Idris Begum,student_10a_19,student1234,parent_10a_19,10A-019
parent,10A,Idris Begum,parent_10a_19,parent1234,,10A-019
student,10A,Bilal Qureshi,student_10a_20,student1234,parent_10a_20,10A-020
parent,10A,Bilal Qureshi,parent_10a_20,parent1234,,10A-020
student,10A,Musa Hassan,student_10a_21,student1234,parent_10a_21,10A-021
parent,10A,Musa Hassan,parent_10a_21,parent1234,,10A-021
student,10A,Isa Ali,student_10a_22,student1234,parent_10a_22,10A-022
parent,10A,Isa Ali,parent_10a_22,parent1234,,10A-022
student,10A,Salman Hussain,student_10a_23,student1234,parent_10a_23,10A-023
parent,10A,Salman Hussain,parent_10a_23,parent1234,,10A-023
student,10A,Tariq Begum,student_10a_24,student1234,parent_10a_24,10A-024
parent,10A,Tariq Begum,parent_10a_24,parent1234,,10A-024
student,10A,Layla Qureshi,student_10a_25,student1234,parent_10a_25,10A-025
parent,10A,Layla Qureshi,parent_10a_25,parent1234,,10A-025
student,10A,Noor Hassan,student_10a_26,student1234,parent_10a_26,10A-026
parent,10A,Noor Hassan,parent_10a_26,parent1234,,10A-026
student,10A,Sumaya Ali,student_10a_27,student1234,parent_10a_27,10A-027
parent,10A,Sumaya Ali,parent_10a_27,parent1234,,10A-027
student,10A,Rania Hussain,student_10a_28,student1234,parent_10a_28,10A-028
parent,10A,Rania Hussain,parent_10a_28,parent1234,,10A-028
student,10A,Yasmin Begum,student_10a_29,student1234,parent_10a_29,10A-029
parent,10A,Yasmin Begum,parent_10a_29,parent1234,,10A-029
student,10A,Safiya Qureshi,student_10a_30,student1234,parent_10a_30,10A-030
parent,10A,Safiya Qureshi,parent_10a_30,parent1234,,10A-030
student,10B,Amina Hassan,student_10b_01,student1234,parent_10b_01,10B-001
parent,10B,Amina Hassan,parent_10b_01,parent1234,,10B-001
student,10B,Fatima Ali,student_10b_02,student1234,parent_10b_02,10B-002
parent,10B,Fatima Ali,parent_10b_02,parent1234,,10B-002
student,10B,Maryam Hussain,student_10b_03,student1234,parent_10b_03,10B-003
parent,10B,Maryam Hussain,parent_10b_03,parent1234,,10B-003
student,10B,Sara Begum,student_10b_04,student1234,parent_10b_04,10B-004
parent,10B,Sara Begum,parent_10b_04,parent1234,,10B-004
student,10B,Hafsa Qureshi,student_10b_05,student1234,parent_10b_05,10B-005
parent,10B,Hafsa Qureshi,parent_10b_05,parent1234,,10B-005
student,10B,Zainab Hassan,student_10b_06,student1234,parent_10b_06,10B-006
parent,10B,Zainab Hassan,parent_10b_06,parent1234,,10B-006
student,10B,Aisha Ali,student_10b_07,student1234,parent_10b_07,10B-007
parent,10B,Aisha Ali,parent_10b_07,parent1234,,10B-007
student,10B,Khadija Hussain,student_10b_08,student1234,parent_10b_08,10B-008
parent,10B,Khadija Hussain,parent_10b_08,parent1234,,10B-008
student,10B,Ahmed Begum,student_10b_09,student1234,parent_10b_09,10B-009
parent,10B,Ahmed Begum,parent_10b_09,parent1234,,10B-009
student,10B,Omar Qureshi,student_10b_10,student1234,parent_10b_10,10B-010
parent,10B,Omar Qureshi,parent_10b_10,parent1234,,10B-010
student,10B,Yusuf Hassan,student_10b_11,student1234,parent_10b_11,10B-011
parent,10B,Yusuf Hassan,parent_10b_11,parent1234,,10B-011
student,10B,Ibrahim Ali,student_10b_12,student1234,parent_10b_12,10B-012
parent,10B,Ibrahim Ali,parent_10b_12,parent1234,,10B-012
student,10B,Hamza Hussain,student_10b_13,student1234,parent_10b_13,10B-013
parent,10B,Hamza Hussain,parent_10b_13,parent1234,,10B-013
student,10B,Zaid Begum,student_10b_14,student1234,parent_10b_14,10B-014
parent,10B,Zaid Begum,parent_10b_14,parent1234,,10B-014
student,10B,Khalid Qureshi,student_10b_15,student1234,parent_10b_15,10B-015
parent,10B,Khalid Qureshi,parent_10b_15,parent1234,,10B-015
student,10B,Hassan Hassan,student_10b_16,student1234,parent_10b_16,10B-016
parent,10B,Hassan Hassan,parent_10b_16,parent1234,,10B-016
student,10B,Ali Ali,student_10b_17,student1234,parent_10b_17,10B-017
parent,10B,Ali Ali,parent_10b_17,parent1234,,10B-017
